      23.0 min  19	   108.80483 	25812.19184 	   0.60204 	 -47.84464 	 118.43705 	 384.63112 	  -0.01062 	   2.23850 	   1.36891 	   3.54181 	  -0.05477 	 216.33908 	  22.67699 	  -0.01469 	 303.51609 	 346.14968 	  50.01903 	 486.40749 	 -10.99750 	  -9.61871 	   0.00029 	   0.00016 	  10.84190 	  -4.96485 	  -6.65203 	   0.00315 	   0.00042 	 939.82814 	  -9.67845 	  -1.05823 	   1.19331 	   1.97241 	   0.52402 	 487.25227 	   0.43421 	   1.33566 	 850.81857 	  4.7474872e+00
      23.0 min  20	   108.80483 	25812.19184 	   0.60204 	 -47.84464 	 118.43705 	 384.63112 	  -0.01062 	   2.23850 	   1.36891 	   3.54181 	  -0.05477 	 216.33908 	  22.67699 	  -0.01469 	 303.51609 	 346.85126 	  50.01903 	 453.26259 	 -10.99750 	  -9.61871 	   0.00029 	   0.00016 	  10.22234 	  -4.96485 	  -6.65203 	   0.00315 	   0.00042 	 939.82814 	  -9.26053 	  -1.05823 	   1.19331 	   1.97241 	   0.52402 	 487.25227 	   0.43421 	   1.33566 	 850.81857 	  4.7332669e+00
      23.1 min  21	   108.80483 	25812.19184 	   0.60204 	 -47.84464 	 118.43705 	 384.63112 	  -0.01062 	   2.23850 	   1.36891 	   3.54181 	  -0.05477 	 216.33908 	  22.67699 	  -0.01469 	 307.90580 	 346.85126 	  50.01903 	 453.26259 	 -10.99750 	  -9.61871 	   0.00029 	   0.00016 	  10.22234 	  -4.96485 	  -6.65203 	   0.00315 	   0.00042 	 939.82814 	  -9.26053 	  -1.05823 	   1.19331 	   1.97241 	   0.52402 	 487.25227 	   0.43421 	   1.33566 	 850.81857 	  4.7304103e+00
      23.1 min  22	   108.80483 	25812.19184 	   0.60204 	 -47.84464 	 118.43705 	 384.63112 	  -0.01062 	   2.23850 	   1.36891 	   3.54181 	  -0.05477 	 216.33908 	  22.67699 	  -0.01469 	 307.90580 	 346.85126 	  50.01903 	 453.26259 	 -10.99750 	  -9.61871 	   0.00029 	   0.00016 	  10.22234 	  -4.96485 	  -6.65203 	   0.00315 	   0.00042 	 939.82814 	  -9.26053 	  -1.05823 	   1.19331 	   1.97241 	   0.52402 	 487.25227 	   0.43421 	   1.33566 	 850.81857 	  4.7304103e+00
      23.1 min  23	   108.80483 	25812.19184 	   0.60204 	 -47.84464 	 118.43705 	 384.63112 	  -0.01062 	   2.23850 	   1.36891 	   3.54181 	  -0.05477 	 216.33908 	  22.67699 	  -0.01469 	 322.04529 	 346.85126 	  50.01903 	 453.26259 	 -10.99750 	  -9.61871 	   0.00029 	   0.00016 	  10.22234 	  -4.96485 	  -6.65203 	   0.00315 	   0.00042 	 939.82814 	  -9.26053 	  -1.05823 	   1.19331 	   1.97241 	   0.52402 	 487.25227 	   0.43421 	   1.33566 	 850.81857 	  4.7303823e+00
      23.1 min  24	   108.80483 	25812.19184 	   0.60204 	 -47.84464 	 118.43705 	 384.63112 	  -0.01062 	   2.23850 	   1.36891 	   3.54181 	  -0.05477 	 216.33908 	  22.67699 	  -0.01469 	 322.04529 	 346.85126 	  50.01903 	 453.26259 	 -10.99750 	  -9.61871 	   0.00029 	   0.00016 	  10.22234 	  -4.96485 	  -6.65203 	   0.00315 	   0.00042 	 939.82814 	  -9.26053 	  -1.05823 	   1.19331 	   1.97241 	   0.52402 	 487.25227 	   0.43421 	   1.33566 	 850.81857 	  4.7303823e+00
      23.1 min  25	   108.80483 	25812.19184 	   0.60204 	 -47.84464 	 118.43705 	 384.63112 	  -0.01062 	   2.23850 	   1.36891 	   3.54181 	  -0.05477 	 216.33908 	  22.67699 	  -0.01469 	 322.04529 	 346.85126 	  50.01903 	 453.26259 	 -10.99750 	  -9.61871 	   0.00029 	   0.00016 	  10.22234 	  -4.96485 	  -6.65203 	   0.00315 	   0.00042 	 939.82814 	  -9.26053 	  -1.05823 	   1.19331 	   1.97241 	   0.52402 	 487.25227 	   0.43421 	   1.33566 	 850.81857 	  4.7303823e+00
      23.1 min  26	   108.80483 	25812.19184 	   0.60204 	 -47.84464 	 118.43705 	 384.63112 	  -0.01062 	   2.23850 	   1.36891 	   3.54181 	  -0.05477 	 216.33908 	  22.67699 	  -0.01469 	 322.04529 	 346.85126 	  50.01903 	 453.26259 	 -10.99750 	  -9.61871 	   0.00029 	   0.00016 	  10.22234 	  -4.96485 	  -6.65203 	   0.00315 	   0.00042 	 939.82814 	  -9.26053 	  -1.05823 	   1.19331 	   1.97241 	   0.52402 	 487.25227 	   0.43421 	   1.33566 	 850.81857 	  4.7303823e+00
      23.2 min  27	   108.80483 	25812.19184 	   0.60204 	 -47.84464 	 118.43705 	 384.63112 	  -0.01062 	   2.23850 	   1.36891 	   3.54181 	  -0.05477 	 216.33908 	  22.67699 	  -0.01469 	 322.04529 	 346.85126 	  50.01903 	 453.26259 	 -10.99750 	  -9.61871 	   0.00029 	   0.00016 	  10.22234 	  -4.96485 	  -6.65203 	   0.00315 	   0.00042 	 939.82814 	  -9.26053 	  -1.05823 	   1.19331 	   1.97241 	   0.52402 	 487.25227 	   0.43421 	   1.33566 	 850.81857 	  4.7303823e+00
      23.2 min  28	   108.80483 	25812.19184 	   0.60204 	 -47.84464 	 118.43705 	 384.63112 	  -0.01062 	   2.23850 	   1.36891 	   3.54181 	  -0.05477 	 216.33908 	  22.67699 	  -0.01469 	 322.04529 	 346.85126 	  50.01903 	 453.26259 	 -10.99750 	  -9.61871 	   0.00029 	   0.00016 	  10.22234 	  -4.96485 	  -6.65203 	   0.00315 	   0.00042 	 939.82814 	  -9.26053 	  -1.05823 	   1.19331 	   1.97241 	   0.52402 	 487.25227 	   0.43421 	   1.33566 	 850.81857 	  4.7303823e+00
